,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,license,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,projectrank_placing,dockerhub_id,docs_url,labels,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
88,AutoGluon,autogluon/autogluon,hyperopt,,{},166.0,"AutoML for Image, Text, and Tabular Data.",16,False,autogluon,conda-forge/autogluon,,1298.0,1298.0,https://pypi.org/project/autogluon,1020041.0,1022233.0,https://anaconda.org/conda-forge/autogluon,2023-01-27 07:42:18.607,2026-08-12 16:58:14.675,2026-08-12 16:58:14.675000,68212.0,15.0,1.0,autogluon/autogluon,https://auto.gluon.ai,"['pytorch', 'sklearn']",https://hub.docker.com/r/autogluon/autogluon,2025-06-16 23:01:47.182920,20.0,20.0,26064.0,,,,,,,,,,,,,
89,CuPy,cupy/cupy,gpu-utilities,,{},464.0,CuPy: NumPy & SciPy for GPU.,16,False,cupy,conda-forge/cupy,,7933.0,7933.0,https://pypi.org/project/cupy,33270.0,158192.0,https://anaconda.org/conda-forge/cupy,2020-05-23 18:55:49.350,2026-08-20 20:43:41.242,2026-08-20 20:43:41.242000,9254608.0,66.0,1.0,cupy/cupy,,,https://hub.docker.com/r/cupy/cupy,2026-08-20 06:37:15.062453,14.0,14.0,114612.0,,,,,,,,,,,,,
90,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,{},1070.0,PyTorch Lightning is the lightweight PyTorch wrapper for ML researchers. Scale your models. Write less boilerplate.,16,False,pytorch-lightning,conda-forge/pytorch-lightning,,50929.0,50929.0,https://pypi.org/project/pytorch-lightning,,29797.0,https://anaconda.org/conda-forge/pytorch-lightning,2020-06-03 07:36:42.521,2026-06-02 08:12:13.235,2026-06-02 08:12:13.235000,2205035.0,129.0,2.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
91,jellyfish,jamesturk/jellyfish,nlp,,{},37.0,A library for doing approximate and phonetic matching of strings.,16,False,jellyfish,conda-forge/jellyfish,,15483.0,15483.0,https://pypi.org/project/jellyfish,10450197.0,10483092.0,https://anaconda.org/conda-forge/jellyfish,2020-06-10 16:23:01.195,2025-11-25 21:17:09.326,2025-11-25 21:17:09.326000,2434238.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,
92,imgaug,aleju/imgaug,image,,{},36.0,Image augmentation for machine learning experiments.,16,False,imgaug,conda-forge/imgaug,,26568.0,26568.0,https://pypi.org/project/imgaug,908153.0,911266.0,https://anaconda.org/conda-forge/imgaug,2019-06-05 06:04:19.977,2025-04-22 14:57:06.395,2025-04-22 14:57:06.395000,267769.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
93,imutils,PyImageSearch/imutils,image,,{},21.0,"A series of convenience functions to make basic image processing functions such as translation, rotation, resizing,..",16,False,imutils,conda-forge/imutils,,54254.0,54254.0,https://pypi.org/project/imutils,767228.0,771363.0,https://anaconda.org/conda-forge/imutils,2020-07-07 12:49:26.774,2025-04-22 14:57:06.837,2025-04-22 14:57:06.837000,301857.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
94,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,{},325.0,Scientific Graphics and GUI Library for Python.,16,False,pyqtgraph,conda-forge/pyqtgraph,,13909.0,13909.0,https://pypi.org/project/pyqtgraph,983664.0,1001035.0,https://anaconda.org/conda-forge/pyqtgraph,2020-06-09 00:20:24.502,2025-11-19 10:58:06.682,2025-11-19 10:58:06.682000,1285523.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,
95,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,{},98.0,A Jupyter widget for dynamic Leaflet maps.,16,False,ipyleaflet,conda-forge/ipyleaflet,,18330.0,18330.0,https://pypi.org/project/ipyleaflet,404905.0,449479.0,https://anaconda.org/conda-forge/ipyleaflet,2020-05-25 11:11:25.372,2025-06-13 19:35:58.799,2025-06-13 19:35:58.799000,3153080.0,74.0,2.0,,,['jupyter'],,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2533.0,,,,,,,,,
96,BoTorch,pytorch/botorch,hyperopt,,{},165.0,Bayesian Optimization in PyTorch.,16,False,botorch,conda-forge/botorch,,1953.0,1953.0,https://pypi.org/project/botorch,886981.0,890152.0,https://anaconda.org/conda-forge/botorch,2020-08-01 11:16:39.122,2026-06-09 03:34:16.649,2026-06-09 03:34:16.649000,228377.0,43.0,1.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
97,Nilearn,nilearn/nilearn,medical-data,,{},285.0,Statistical learning for neuroimaging in Python.,16,False,nilearn,conda-forge/nilearn,,4606.0,4606.0,https://pypi.org/project/nilearn,213036.0,222030.0,https://anaconda.org/conda-forge/nilearn,2020-11-12 13:26:01.761,2026-07-02 10:30:48.603,2026-07-02 10:30:48.603000,620623.0,31.0,2.0,,,['sklearn'],,,,,,,,,,,,,,,,,,
98,MONAI,Project-MONAI/MONAI,medical-data,,{},301.0,AI Toolkit for Healthcare Imaging.,16,False,monai,conda-forge/monai,,4752.0,4752.0,https://pypi.org/project/monai,732728.0,734085.0,https://anaconda.org/conda-forge/monai,2021-12-29 09:55:36.763,2026-01-28 07:31:46.743,2026-01-28 07:31:46.743000,75994.0,15.0,2.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
99,sktime,alan-turing-institute/sktime,time-series-data,,{},653.0,A unified framework for machine learning with time series.,16,False,sktime,conda-forge/sktime-all-extras,,4883.0,4883.0,https://pypi.org/project/sktime,1075890.0,1097586.0,https://anaconda.org/conda-forge/sktime-all-extras,2021-07-28 06:16:34.545,2025-12-07 07:18:44.347,2025-12-07 07:18:44.347000,1323515.0,76.0,1.0,,,['sklearn'],,,,,,,,,,,,,,,,,,
