,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
19,Altair,altair-viz/altair,data-viz,,{},196.0,Altair: A declarative statistical visualization library for Python.,21,False,altair,conda-forge/altair,,,,248958.0,248958.0,https://pypi.org/project/altair,52328303.0,52393669.0,https://anaconda.org/conda-forge/altair,2021-12-29 16:43:13.728,2026-06-25 09:08:16.682,2026-06-25 09:08:16.682000,3595184.0,35.0,,,,,,1.0,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,{},1103.0,MLflow is an open source platform for the machine learning lifecycle.,21,False,mlflow,conda-forge/mlflow,,,,68963.0,68963.0,https://pypi.org/project/mlflow,40694553.0,40760718.0,https://anaconda.org/conda-forge/mlflow,2020-06-25 18:11:47.672,2026-07-22 13:00:06.479,2026-07-22 13:00:06.479000,4830054.0,121.0,,,,,,1.0,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,ml-experiments,,{},336.0,TensorFlows Visualization Toolkit.,21,False,tensorboard,conda-forge/tensorboard,,,['tensorflow'],339643.0,339643.0,https://pypi.org/project/tensorboard,26972671.0,27079289.0,https://anaconda.org/conda-forge/tensorboard,2020-06-22 10:06:52.606,2026-05-24 17:36:10.396,2026-05-24 17:36:10.396000,7783164.0,45.0,,,,,,1.0,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,{},655.0,Parallel PyData with Task Scheduling.,21,False,dask,conda-forge/dask,,,,80048.0,80048.0,https://pypi.org/project/dask,28685084.0,28917127.0,https://anaconda.org/conda-forge/dask,2020-05-27 04:42:11.739,2026-07-14 19:10:02.983,2026-07-14 19:10:02.983000,17171243.0,210.0,,,,,,1.0,,,,,,stable/dask,,,,,,,,
23,Ray,ray-project/ray,distributed-ml,,{},1655.0,Ray is a fast and simple framework for building and running distributed applications.,21,False,ray,conda-forge/ray-tune,,,,29209.0,29209.0,https://pypi.org/project/ray,60713731.0,60731625.0,https://anaconda.org/conda-forge/ray-tune,2020-12-10 16:27:52.723,2026-05-11 14:58:33.213,2026-05-11 14:58:33.213000,1198917.0,79.0,,,,,,1.0,,,,,,,,,,,,,,
24,SymPy,sympy/sympy,others,,{},1501.0,Python library for symbolic mathematics.,21,False,sympy,conda-forge/sympy,,,,307037.0,307037.0,https://pypi.org/project/sympy,158255134.0,158462020.0,https://anaconda.org/conda-forge/sympy,2020-05-24 15:55:07.810,2026-02-24 17:00:41.277,2026-02-24 17:00:41.277000,15309602.0,25.0,,,,,,1.0,,,,,,,,,,,,,,
25,sentence-transformers,UKPLab/sentence-transformers,nlp,,{},281.0,Sentence Embeddings using BERT / RoBERTa / XLNet.,21,False,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],138540.0,138540.0,https://pypi.org/project/sentence-transformers,28792294.0,28819710.0,https://anaconda.org/conda-forge/sentence-transformers,2020-09-18 19:41:05.496,2026-06-16 20:54:35.967,2026-06-16 20:54:35.967000,1919150.0,48.0,,,,,,1.0,,,,,,,,,,,,,,
26,accelerate,huggingface/accelerate,pytorch-utils,,{},425.0,Training loop of PyTorch without boilerplate code.,21,False,accelerate,conda-forge/accelerate,,,['pytorch'],116500.0,116500.0,https://pypi.org/project/accelerate,27448872.0,27476289.0,https://anaconda.org/conda-forge/accelerate,2021-10-11 19:33:54.475,2026-06-12 15:26:42.843,2026-06-12 15:26:42.843000,1562775.0,64.0,,,,,,1.0,,,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,{},517.0,Statistical computations and models for use with SciPy.,20,False,statsmodels,conda-forge/statsmodels,,,,185094.0,185094.0,https://pypi.org/project/statsmodels,38916626.0,39286289.0,https://anaconda.org/conda-forge/statsmodels,2020-06-12 12:09:15.928,2025-12-06 02:07:50.082,2025-12-06 02:07:50.082000,26985442.0,23.0,,,,,,1.0,,,,,,,,,,,,,,
28,jax,google/jax,ml-frameworks,,{},1097.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",20,False,jax,conda-forge/jaxlib,,,,50502.0,50502.0,https://pypi.org/project/jax,18317293.0,18374942.0,https://anaconda.org/conda-forge/jaxlib,2020-06-16 01:44:03.567,2026-07-06 18:55:29.549,2026-07-06 18:55:29.549000,4208378.0,93.0,,,,,,1.0,,,,,,,,,,,,,,
29,sentencepiece,google/sentencepiece,nlp,,{},116.0,Unsupervised text tokenizer for Neural Network-based text generation.,20,False,sentencepiece,conda-forge/sentencepiece,,,,129685.0,129685.0,https://pypi.org/project/sentencepiece,34199353.0,34230216.0,https://anaconda.org/conda-forge/sentencepiece,2020-07-09 18:30:01.986,2026-06-22 20:34:01.820,2026-06-22 20:34:01.820000,2222203.0,8.0,,,,,,1.0,,,,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,{},649.0,Image processing in Python.,20,False,scikit-image,conda-forge/scikit-image,,,,246943.0,246943.0,https://pypi.org/project/scikit-image,32152746.0,32302086.0,https://anaconda.org/conda-forge/scikit-image,2020-06-09 21:49:09.288,2025-12-25 22:03:47.378,2025-12-25 22:03:47.378000,10901829.0,29.0,,,,,,1.0,,,,,,,,,,,,,,
31,Bokeh,bokeh/bokeh,data-viz,,{},734.0,Statistical and novel interactive HTML plots for Python.,20,False,bokeh,conda-forge/bokeh,,,,105835.0,105835.0,https://pypi.org/project/bokeh,8055478.0,8334307.0,https://anaconda.org/conda-forge/bokeh,2020-06-16 00:40:01.624,2026-06-09 10:49:40.633,2026-06-09 10:49:40.633000,20354547.0,76.0,,,,,,1.0,,,,,,,,,,,,,,
32,pyproj,pyproj4/pyproj,geospatial-data,,{},80.0,Python interface to PROJ library.,20,False,pyproj,conda-forge/pyproj,,,,49562.0,49562.0,https://pypi.org/project/pyproj,27449482.0,27648669.0,https://anaconda.org/conda-forge/pyproj,2020-07-28 04:30:26.055,2026-03-08 21:11:16.445,2026-03-08 21:11:16.445000,14341516.0,37.0,,,,,,1.0,,MIT,,,,,,,,,,,,
33,yfinance,ranaroussi/yfinance,financial-data,,{},173.0,,20,False,yfinance,ranaroussi/yfinance,,,,89951.0,89951.0,https://pypi.org/project/yfinance,28492960.0,28494609.0,https://anaconda.org/ranaroussi/yfinance,2021-07-03 13:58:30.250,2025-03-25 16:27:42.706,2025-03-25 16:27:42.706000,98985.0,4.0,,,,,,1.0,,,,,,,,,,,,,,
34,dash,plotly/dash,data-viz,,{},217.0,A Python framework for building reactive web-apps. Developed by Plotly.,20,False,dash,conda-forge/dash,,,,90904.0,90904.0,https://pypi.org/project/dash,10888344.0,10922461.0,https://anaconda.org/conda-forge/dash,2020-06-21 21:47:00.236,2026-07-22 05:14:16.153,2026-07-22 05:14:16.153000,2490560.0,126.0,,,,,,1.0,,,,,,,,,,,,,,
35,wandb client,wandb/client,ml-experiments,,{},247.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",20,False,wandb,conda-forge/wandb,,,,89626.0,89626.0,https://pypi.org/project/wandb,24114426.0,24137482.0,https://anaconda.org/conda-forge/wandb,2020-07-28 19:00:23.555,2026-07-21 22:59:37.840,2026-07-21 22:59:37.840000,1660099.0,111.0,,,,,,1.0,,,,,,,,,,,,,,
36,Shapely,shapely/shapely,geospatial-data,,{},175.0,Python package for manipulation and analysis of geometric objects in the Cartesian plane.,20,False,shapely,conda-forge/shapely,,,,122547.0,122547.0,https://pypi.org/project/shapely,78129523.0,78389472.0,https://anaconda.org/conda-forge/shapely,2020-08-21 06:18:37.778,2025-11-07 14:27:39.980,2025-11-07 14:27:39.980000,18456410.0,36.0,,,,,,1.0,,,,,,,,,,,,,,
37,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,{},1069.0,PyTorch Lightning is the lightweight PyTorch wrapper for ML researchers. Scale your models. Write less boilerplate.,19,False,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],50651.0,50651.0,https://pypi.org/project/pytorch-lightning,10535887.0,10564665.0,https://anaconda.org/conda-forge/pytorch-lightning,2020-06-03 07:36:42.521,2026-06-02 08:12:13.235,2026-06-02 08:12:13.235000,2100802.0,129.0,,,,,,2.0,,,,,,,,,,,,,,
38,einops,arogozhnikov/einops,ml-frameworks,,{},38.0,A new flavour of deep learning operations.,19,False,einops,conda-forge/einops,,,,90138.0,90138.0,https://pypi.org/project/einops,25450780.0,25461962.0,https://anaconda.org/conda-forge/einops,2020-10-15 20:10:16.939,2026-01-26 11:30:26.666,2026-01-26 11:30:26.666000,771614.0,12.0,,,,,,2.0,,,,,,,,,,,,,,
39,spaCy,explosion/spaCy,nlp,,{},780.0,Industrial-strength Natural Language Processing.,19,False,spacy,conda-forge/spacy,,,,145820.0,145820.0,https://pypi.org/project/spacy,22720807.0,22844638.0,https://anaconda.org/conda-forge/spacy,2020-06-17 09:17:51.026,2026-03-29 21:12:40.594,2026-03-29 21:12:40.594000,9039710.0,92.0,,,,,,1.0,,,,,,,,,,,,,,
40,gensim,RaRe-Technologies/gensim,nlp,,{},464.0,Topic Modelling for Humans.,19,False,gensim,conda-forge/gensim,,,,78768.0,78768.0,https://pypi.org/project/gensim,5025902.0,5059943.0,https://anaconda.org/conda-forge/gensim,2021-03-31 07:19:16.610,2026-03-18 20:01:38.726,2026-03-18 20:01:38.726000,2178687.0,23.0,,,,,,1.0,,,,,,,,,,,,,,
41,PyTorch Image Models,rwightman/pytorch-image-models,image,,{},197.0,(Unofficial) PyTorch Image Models.,19,False,timm,conda-forge/timm,,,['pytorch'],65710.0,65710.0,https://pypi.org/project/timm,14564329.0,14573934.0,https://anaconda.org/conda-forge/timm,2020-07-18 18:44:49.142,2026-07-16 02:58:41.608,2026-07-16 02:58:41.608000,691562.0,47.0,,,,,,1.0,,,,,,,,,,,,,,
42,imageio,imageio/imageio,image,,{},131.0,A Python library for reading and writing image data.,19,False,imageio,conda-forge/imageio,,,,189092.0,189092.0,https://pypi.org/project/imageio,42842271.0,42984129.0,https://anaconda.org/conda-forge/imageio,2020-07-06 14:13:23.772,2025-04-22 14:56:30.839,2025-04-22 14:56:30.839000,10213836.0,52.0,,,,,,1.0,,,,,,,,,,,,,,
43,shap,slundberg/shap,interpretability,,{},322.0,A unified approach to explain the output of any machine learning model.,19,False,shap,conda-forge/shap,,,,37617.0,37617.0,https://pypi.org/project/shap,15672283.0,15814411.0,https://anaconda.org/conda-forge/shap,2020-12-16 18:34:09.024,2026-06-12 18:46:58.089,2026-06-12 18:46:58.089000,9522621.0,41.0,,,,,,1.0,,,,,,,,,,,,,,
44,GeoPandas,geopandas/geopandas,geospatial-data,,{},262.0,Geographic pandas extensions.,19,False,geopandas,conda-forge/geopandas,,,['pandas'],62933.0,62933.0,https://pypi.org/project/geopandas,21304721.0,21407281.0,https://anaconda.org/conda-forge/geopandas,2020-06-24 14:59:24.383,2026-06-26 20:58:44.934,2026-06-26 20:58:44.934000,7486927.0,44.0,,,,,,1.0,,,,,,,,,,,,,,
45,Optuna,optuna/optuna,hyperopt,,{},391.0,A hyperparameter optimization framework.,19,False,optuna,conda-forge/optuna,,,,32995.0,32995.0,https://pypi.org/project/optuna,16302025.0,16357730.0,https://anaconda.org/conda-forge/optuna,2020-06-01 09:17:12.717,2026-06-01 10:52:13.216,2026-06-01 10:52:13.216000,4066507.0,46.0,,,,,,1.0,,,,,,,,,,,,,,
46,dask.distributed,dask/distributed,distributed-ml,,{},350.0,Distributed scheduler for Dask.,19,False,distributed,conda-forge/distributed,,,,42941.0,42941.0,https://pypi.org/project/distributed,8192344.0,8533690.0,https://anaconda.org/conda-forge/distributed,2020-05-27 03:49:13.707,2026-07-14 15:35:28.936,2026-07-14 15:35:28.936000,25259605.0,232.0,,,,,,1.0,,,,,,,,,,,,,,
47,onnx,onnx/onnx,model-serialisation,,{},403.0,Open Neural Network Exchange library.,19,False,onnx,conda-forge/onnx,,,,53396.0,53396.0,https://pypi.org/project/onnx,19559771.0,19603094.0,https://anaconda.org/conda-forge/onnx,2020-06-03 11:32:32.173,2026-06-23 19:00:35.296,2026-06-23 19:00:35.296000,3162639.0,35.0,,,,,,1.0,,,,,,,,,,,,,,
48,Streamlit,streamlit/streamlit,others,,{},336.0,,19,False,streamlit,,,,,1013794.0,1013794.0,https://pypi.org/project/streamlit,27708001.0,27708001.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
49,Graphviz,xflr6/graphviz,data-viz,,{},24.0,Simple Python interface for Graphviz.,19,False,graphviz,anaconda/python-graphviz,,,,99363.0,99363.0,https://pypi.org/project/graphviz,50497350.0,50497907.0,https://anaconda.org/anaconda/python-graphviz,2017-04-12 21:55:43.107,2026-03-25 20:08:46.250,2026-03-25 20:08:46.250000,61849.0,13.0,,,,,,2.0,,,,,,,,,,,,,,
50,litellm,BerriAI/litellm,nlp,,{},1547.0,,19,False,litellm,,,,others,26917.0,26917.0,https://pypi.org/project/litellm,654259932.0,654259932.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
51,patsy,pydata/patsy,probabilistics,,{},25.0,Describing statistical models in Python using symbolic formulas.,19,False,patsy,conda-forge/patsy,,,,130683.0,130683.0,https://pypi.org/project/patsy,36242216.0,36635432.0,https://anaconda.org/conda-forge/patsy,2021-09-26 14:43:30.160,2025-10-20 22:13:01.341,2025-10-20 22:13:01.341000,22806560.0,11.0,,,,,,1.0,,,,,,,,,,,,,,
52,pydeck,visgl/deck.gl,geospatial-data,,{},320.0,Widget for deck.gl maps.,19,False,pydeck,conda-forge/pydeck,,,['jupyter'],9616.0,9616.0,https://pypi.org/project/pydeck,25782942.0,26799239.0,https://anaconda.org/conda-forge/pydeck,2020-07-24 06:30:33.668,2026-07-03 03:15:08.148,2026-07-03 03:15:08.148000,1079914.0,16.0,,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,1001299.0,,,,,,,,,
53,Flax,google/flax,ml-frameworks,,{},306.0,Flax: A neural network library for JAX designed for flexibility.,18,False,flax,conda-forge/flax,,,['jax'],16663.0,16663.0,https://pypi.org/project/flax,4288950.0,4292160.0,https://anaconda.org/conda-forge/flax,2021-03-31 20:01:18.364,2026-07-21 05:36:54.150,2026-07-21 05:36:54.150000,205500.0,31.0,,,,,,2.0,,,,,,,,,,,,,,
54,MoviePy,Zulko/moviepy,image,,{},191.0,Video editing with Python.,18,False,moviepy,conda-forge/moviepy,,,,68661.0,68661.0,https://pypi.org/project/moviepy,7731178.0,7741843.0,https://anaconda.org/conda-forge/moviepy,2022-04-16 23:09:16.118,2026-02-01 17:50:06.530,2026-02-01 17:50:06.530000,543965.0,8.0,,,,,,1.0,,,,,,,,,,,,,,
55,folium,python-visualization/folium,geospatial-data,,{},192.0,Make beautiful maps with Leaflet.js and Python.,18,False,folium,conda-forge/folium,,,,65925.0,65925.0,https://pypi.org/project/folium,3543897.0,3638368.0,https://anaconda.org/conda-forge/folium,2021-01-06 21:06:07.776,2025-06-16 22:46:07.761,2025-06-16 22:46:07.761000,6235090.0,31.0,,,,,,2.0,,,,,,,,,,,,,,
56,geojson,jazzband/geojson,geospatial-data,,{},61.0,Python bindings and utilities for GeoJSON.,18,False,geojson,conda-forge/geojson,,,,21221.0,21221.0,https://pypi.org/project/geojson,3860587.0,3900140.0,https://anaconda.org/conda-forge/geojson,2023-02-16 15:57:16.750,2026-05-29 12:40:14.414,2026-05-29 12:40:14.414000,1621711.0,13.0,,,,,,2.0,,,,,,,,,,,,,,
57,Rasterio,rasterio/rasterio,geospatial-data,,{},181.0,Rasterio reads and writes geospatial raster datasets.,18,False,rasterio,conda-forge/rasterio,,,,20335.0,20335.0,https://pypi.org/project/rasterio,5523997.0,5633438.0,https://anaconda.org/conda-forge/rasterio,2021-01-25 19:58:39.144,2026-01-05 17:15:30.142,2026-01-05 17:15:30.142000,7223109.0,87.0,,,,,,2.0,,,,,,,,,,,,,,
58,NIPYPE,nipy/nipype,medical-data,,{},266.0,"Nipype, an open-source, community-developed initiative under the umbrella of NiPy, is a Python project that provides a..",18,False,nipype,conda-forge/nipype,,,,7312.0,7312.0,https://pypi.org/project/nipype,481044.0,503670.0,https://anaconda.org/conda-forge/nipype,2020-08-16 18:50:39.769,2025-05-05 13:43:30.848,2025-05-05 13:43:30.848000,1606458.0,49.0,,,,,,1.0,,Apache-2.0,,,,,,,,,,,,
59,Pydub,jiaaro/pydub,audio,,{},96.0,Manipulate audio with a simple and easy high level interface.,18,False,pydub,conda-forge/pydub,,,,112069.0,112069.0,https://pypi.org/project/pydub,21007990.0,21012882.0,https://anaconda.org/conda-forge/pydub,2021-03-07 19:47:43.182,2025-04-22 14:56:58.184,2025-04-22 14:56:58.184000,313142.0,4.0,,,,,,1.0,,,,,,,,,,,,,,
60,Wand,emcconville/wand,image,,{},113.0,"Wand is a ctypes-based simple ImageMagick binding for Python, supporting 2.7, 3.6+, and PyPy.",18,False,wand,conda-forge/wand,,,,21490.0,21490.0,https://pypi.org/project/wand,1443677.0,1446337.0,https://anaconda.org/conda-forge/wand,2019-08-27 18:03:26.696,2025-04-22 14:57:10.980,2025-04-22 14:57:10.980000,220841.0,6.0,,,,,,1.0,,MIT,,,,,,,,,,,,
61,arviz,arviz-devs/arviz,interpretability,,{},194.0,Exploratory analysis of Bayesian models with Python.,18,False,arviz,conda-forge/arviz,,,,11946.0,11946.0,https://pypi.org/project/arviz,3936816.0,3974591.0,https://anaconda.org/conda-forge/arviz,2020-05-23 03:05:32.458,2026-06-17 20:54:16.234,2026-06-17 20:54:16.234000,2795414.0,38.0,,,,,,1.0,,,,,,,,,,,,,,
62,triton,openai/triton,model-serialisation,,{},638.0,,18,False,triton,,,,,86500.0,86500.0,https://pypi.org/project/triton,69357505.0,69357505.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
63,Thinc,explosion/thinc,ml-frameworks,,{},68.0,thinc: a lightweight deep learning library.,17,False,thinc,conda-forge/thinc,,,,72618.0,72618.0,https://pypi.org/project/thinc,22847132.0,22918238.0,https://anaconda.org/conda-forge/thinc,2020-05-25 09:58:57.636,2026-03-24 12:17:35.079,2026-03-24 12:17:35.079000,5261888.0,66.0,,,,,,2.0,,,,,,,,,,,,,,
64,TextBlob,sloria/TextBlob,nlp,,{},40.0,"Simple, Pythonic text processing. Sentiment analysis, part-of-speech tagging, noun phrase parsing, and more.",17,False,textblob,conda-forge/textblob,,,,61352.0,61352.0,https://pypi.org/project/textblob,3881523.0,3886166.0,https://anaconda.org/conda-forge/textblob,2016-08-24 03:18:31.197,2025-04-22 14:56:26.678,2025-04-22 14:56:26.678000,552546.0,7.0,,,,,,1.0,,,,,,,,,,,,,,
65,ftfy,rspeer/python-ftfy,nlp,,{},22.0,Fixes some problems with Unicode text after the fact.,17,False,ftfy,conda-forge/ftfy,,,,35706.0,35706.0,https://pypi.org/project/ftfy,14099732.0,14108344.0,https://anaconda.org/conda-forge/ftfy,2021-01-20 08:08:07.817,2025-04-22 14:56:35.312,2025-04-22 14:56:35.312000,568420.0,15.0,,,,,,1.0,,,,,,,,,,,,,,
66,ImageHash,JohannesBuchner/imagehash,image,,{},29.0,A Python Perceptual Image Hahsing Module.,17,False,ImageHash,conda-forge/imagehash,,,,18722.0,18722.0,https://pypi.org/project/ImageHash,5637361.0,5646681.0,https://anaconda.org/conda-forge/imagehash,2020-11-19 18:20:47.916,2025-04-22 14:56:29.803,2025-04-22 14:56:29.803000,633763.0,8.0,,,,,,1.0,,,,,,,,,,,,,,
