,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
79,Autograd,HIPS/autograd,others,,{},70.0,Efficiently computes derivatives of NumPy code.,17,False,autograd,conda-forge/autograd,,,,14718.0,14718.0,https://pypi.org/project/autograd,5342852.0,5363830.0,https://anaconda.org/conda-forge/autograd,2022-06-29 14:53:18.365,2026-07-02 11:58:38.334,2026-07-02 11:58:38.334000,1048923.0,11.0,,,,,,1.0,,,,,,,,,,,,,,
80,MLxtend,rasbt/mlxtend,sklearn-utils,,{},122.0,Machine Learning Library Extensions.,17,False,mlxtend,conda-forge/mlxtend,,,['sklearn'],21013.0,21013.0,https://pypi.org/project/mlxtend,1090050.0,1101742.0,https://anaconda.org/conda-forge/mlxtend,2020-07-28 03:34:49.886,2026-06-09 21:10:46.329,2026-06-09 21:10:46.329000,853581.0,25.0,,,,,,1.0,,,,,,,,,,,,,,
81,PyOD,yzhao062/pyod,others,,{},73.0,A Python Toolkit for Scalable Outlier Detection (Anomaly Detection).,17,False,pyod,conda-forge/pyod,,,,5710.0,5710.0,https://pypi.org/project/pyod,5149196.0,5152065.0,https://anaconda.org/conda-forge/pyod,2020-05-21 23:31:10.016,2026-08-02 15:38:23.195,2026-08-02 15:38:23.195000,215188.0,58.0,,,,,,1.0,,,,,,,,,,,,,,
82,agate,wireservice/agate,others,,{},62.0,A data analysis library that is optimized for humans instead of machines.,17,False,agate,conda-forge/agate,,,,5854.0,5854.0,https://pypi.org/project/agate,35244794.0,35256193.0,https://anaconda.org/conda-forge/agate,2021-05-30 20:16:52.450,2026-02-27 18:41:38.959,2026-02-27 18:41:38.959000,718194.0,19.0,,,,,,1.0,,,,,,,,,,,,,,
83,glfw,glfw/glfw,image,,{},208.0,"Open Source, multi-platform library for OpenGL, OpenGL ES and Vulkan application development.",17,False,glfw,conda-forge/glfw,,,,1640.0,1640.0,https://pypi.org/project/glfw,3784773.0,3797317.0,https://anaconda.org/conda-forge/glfw,2021-02-23 05:20:05.660,2026-08-01 12:21:17.242,2026-08-01 12:21:17.242000,827961.0,15.0,,,,,,1.0,,,,,,,,,,,,,,
84,Gradio,gradio-app/gradio,others,,{},506.0,"Wrap UIs around any model, share with anyone.",17,False,gradio,,,,,89382.0,89382.0,https://pypi.org/project/gradio,15408351.0,15408351.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
85,TensorFlow Datasets,tensorflow/datasets,tensorflow-utils,,{},329.0,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,17,False,tensorflow-datasets,conda-forge/tensorflow-datasets,,,['tensorflow'],25562.0,25562.0,https://pypi.org/project/tensorflow-datasets,1683549.0,1684483.0,https://anaconda.org/conda-forge/tensorflow-datasets,2021-05-04 09:11:33.308,2025-04-22 14:57:51.541,2025-04-22 14:57:51.541000,58889.0,9.0,,,,,,1.0,,,,,,,,,,,,,,
86,optimum,huggingface/optimum,gpu-utilities,,{},164.0,"Optimum Library is an extension of the Hugging Face Transformers library, providing a framework to integrate third-..",17,False,optimum,conda-forge/optimum,,,,7283.0,7283.0,https://pypi.org/project/optimum,1919623.0,1921852.0,https://anaconda.org/conda-forge/optimum,2022-04-01 08:22:36.713,2026-08-04 22:32:24.368,2026-08-04 22:32:24.368000,115928.0,33.0,,,,,,1.0,,,,,,,,,,,,,,
87,AutoGluon,autogluon/autogluon,hyperopt,,{},161.0,"AutoML for Image, Text, and Tabular Data.",16,False,autogluon,conda-forge/autogluon,autogluon/autogluon,https://auto.gluon.ai,"['pytorch', 'sklearn']",1296.0,1296.0,https://pypi.org/project/autogluon,457454.0,459604.0,https://anaconda.org/conda-forge/autogluon,2023-01-27 07:42:18.607,2026-08-12 16:58:14.675,2026-08-12 16:58:14.675000,66671.0,15.0,https://hub.docker.com/r/autogluon/autogluon,2025-06-16 23:01:47.182920,20.0,20.0,25832.0,1.0,,,,,,,,,,,,,,
88,CuPy,cupy/cupy,gpu-utilities,,{},462.0,CuPy: NumPy & SciPy for GPU.,16,False,cupy,conda-forge/cupy,cupy/cupy,,,7868.0,7868.0,https://pypi.org/project/cupy,33311.0,156321.0,https://anaconda.org/conda-forge/cupy,2020-05-23 18:55:49.350,2026-06-01 13:39:01.924,2026-06-01 13:39:01.924000,9113225.0,65.0,https://hub.docker.com/r/cupy/cupy,2026-06-01 08:44:25.955588,14.0,14.0,112600.0,1.0,,,,,,,,,,,,,,
89,MXNet,apache/incubator-mxnet,ml-frameworks,,{},987.0,"MXNet metapackage for installing lib,py-MXNet Conda packages.",16,False,mxnet,mxnet,,,['mxnet'],8105.0,8105.0,https://pypi.org/project/mxnet,649273.0,649406.0,https://anaconda.org/anaconda/mxnet,2017-12-31 23:55:34.813,2025-04-22 15:32:24.964,2025-04-22 15:32:24.964000,13916.0,6.0,,,,,,2.0,,,,,,,,,,,,,,
90,LightGBM,microsoft/LightGBM,ml-frameworks,,{},351.0,LightGBM is a gradient boosting framework that uses tree based learning algorithms.,16,False,lightgbm,conda-forge/lightgbm,,,,174.0,174.0,https://pypi.org/project/lightgbm,25821981.0,25898645.0,https://anaconda.org/conda-forge/lightgbm,2020-09-01 12:55:08.262,2026-07-20 03:34:31.957,2026-07-20 03:34:31.957000,5443188.0,32.0,,,,,,2.0,,,,,,,,,,,,,,
91,Ignite,pytorch/ignite,ml-frameworks,,{},262.0,A lightweight library to help with training neural networks in PyTorch.,16,False,pytorch-ignite,pytorch/ignite,,,['pytorch'],4040.0,4040.0,https://pypi.org/project/pytorch-ignite,319217.0,322041.0,https://anaconda.org/pytorch/ignite,2018-06-20 15:36:52.783,2026-07-22 15:14:18.114,2026-07-22 15:14:18.114000,276834.0,28.0,,,,,,2.0,,,,,,,,,,,,,,
92,jellyfish,jamesturk/jellyfish,nlp,,{},37.0,A library for doing approximate and phonetic matching of strings.,16,False,jellyfish,conda-forge/jellyfish,,,,15460.0,15460.0,https://pypi.org/project/jellyfish,10879064.0,10911589.0,https://anaconda.org/conda-forge/jellyfish,2020-06-10 16:23:01.195,2025-11-25 21:17:09.326,2025-11-25 21:17:09.326000,2406850.0,19.0,,,,,,2.0,,,,,,,,,,,,,,
93,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,{},321.0,Scientific Graphics and GUI Library for Python.,16,False,pyqtgraph,conda-forge/pyqtgraph,,,,13874.0,13874.0,https://pypi.org/project/pyqtgraph,1024161.0,1041318.0,https://anaconda.org/conda-forge/pyqtgraph,2020-06-09 00:20:24.502,2025-11-19 10:58:06.682,2025-11-19 10:58:06.682000,1269639.0,18.0,,,,,,2.0,,,,,,,,,,,,,,
94,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,{},98.0,A Jupyter widget for dynamic Leaflet maps.,16,False,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],18319.0,18319.0,https://pypi.org/project/ipyleaflet,404991.0,448966.0,https://anaconda.org/conda-forge/ipyleaflet,2020-05-25 11:11:25.372,2025-06-13 19:35:58.799,2025-06-13 19:35:58.799000,3117865.0,74.0,,,,,,2.0,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2404.0,,,,,,,,,
